Ludmila;16.09.2015
Ľudovít;25.08.2015
Ludvík;19.08.2015
Lukáš;18.10.2015
Lumír;28.02.2015
Lýdie;14.12.2015
Magda;22.07.2015
Magdaléna;22.07.2015
Mahulena;17.11.2015
Marcel;12.10.2015
Marcela;20.04.2015
Marek;25.04.2015
Marian;25.03.2015
Marián;25.03.2015
Mariana;08.09.2015
Marie;12.09.2015
Marika;31.01.2015
Marina;10.10.2015
Markéta;13.07.2015
Maroš;11.11.2015
Marta;29.07.2015
Martin;11.11.2015
Martina;17.07.2015
Matěj;24.02.2015
Matouš;21.09.2015
Matylda;14.03.2015
Maxmilián;29.05.2015
Medard;08.06.2015
Michael;29.09.2015
Michaela;19.10.2015
Michal;29.09.2015
Michala;19.10.2015
Mikuláš;06.12.2015
Milada;08.02.2015
Milan;18.06.2015
Milena;24.01.2015
Miloslav;18.12.2015
Miloslava;17.02.2015
Miloš;25.01.2015
Miluše;03.08.2015
Miriam;05.11.2015
Mirka;05.04.2015
Miroslav;06.03.2015
Miroslava;05.04.2015
Mojmír;10.02.2015
Monika;21.05.2015
Naďa;17.09.2015
Naděžda;17.09.2015
Natálie;21.12.2015
Nataša;18.05.2015
Nela;02.02.2015
Nikol;20.11.2015
Nikola;20.11.2015
Nina;24.10.2015
Nora;08.07.2015
Norbert;06.06.2015
Novýrok;01.01.2015
Oldřich;20.02.2015
Oldřiška;06.08.2015
Oleg;20.09.2015
Olga;11.07.2015
Oliver;02.10.2015
Olivie;02.10.2015
Ondřej;30.11.2015
Oskar;01.08.2015
Otakar;27.08.2015
Otmar;16.11.2015
Oto;26.04.2015
Otto;26.04.2015
Otýlie;28.01.2015
Památkazesnulých;02.11.2015
Pankrác;12.05.2015
Patricie;02.07.2015
Patrik;19.02.2015
Pavel;29.06.2015
Pavla;22.06.2015
Pavlína;31.08.2015
Pavol;29.06.2015
Peter;29.06.2015
Petr;29.06.2015
Petra;17.08.2015
Pravoslav;12.01.2015
Prokop;04.07.2015
Přemysl;16.05.2015
Radan;15.12.2015
Radana;15.12.2015
Radek;21.03.2015
Radim;25.08.2015
Radka;14.09.2015
Radmila;03.01.2015
Radomír;03.07.2015
Radomíra;03.07.2015
Radoslav;06.05.2015
Radovan;14.01.2015
Radúz;10.12.2015
Rastislav;13.01.2015
Regina;07.09.2015
Regína;07.09.2015
Renata;13.10.2015
Renáta;13.10.2015
René;28.11.2015
Richard;03.04.2015
Robert;29.04.2015
Robin;30.01.2015
Roland;14.06.2015
Roman;09.08.2015
Romana;18.11.2015
Rostislav;19.04.2015
Rudolf;17.04.2015
Růt;14.03.2015
Růžena;13.03.2015
Řehoř;12.03.2015
Sabina;22.10.2015
Samuel;01.09.2015
Sandra;23.08.2015
Sára;09.10.2015
Saskie;07.11.2015
Saša;21.04.2015
Sáva;14.11.2015
Sebastian;20.01.2015
Servác;13.05.2015
Silvestr;31.12.2015
Silvia;29.10.2015
Silvie;29.10.2015
Simona;12.12.2015
Slávek;22.01.2015
Slavěna;12.02.2015
Slávka;12.02.2015
Slavo;22.01.2015
Slavoj;07.06.2015
Slavomír;22.01.2015
Soběslav;08.08.2015
Soňa;28.03.2015
Stanislav;07.05.2015
Stanislava;09.06.2015
Stela;04.03.2015
Svatava;11.05.2015
Svátekpráce;01.05.2015
Svatopluk;23.02.2015
Svatoslav;03.12.2015
Světlana;20.03.2015
Sylva;29.10.2015
Sylvie;29.10.2015
Šárka;30.06.2015
Šarlota;27.10.2015
Šimon;22.12.2015
Šimona;12.12.2015
Štefan;09.10.2015
Štěpán;26.12.2015
Štěpánka;31.10.2015
Tadeáš;30.10.2015
Tamara;03.06.2015
Tatiana;29.03.2015
Taťána;29.03.2015
Tea;23.10.2015
Teodor;23.10.2015
Tereza;15.10.2015
Terezie;15.10.2015
Tibor;13.11.2015
Tomáš;07.03.2015
Třikrálové;06.01.2015
UpálenímistraJanaHusa;06.07.2015
Valdemar;27.05.2015
Valentýn;14.02.2015
Valérie;18.04.2015
Vanda;06.02.2015
Vavřinec;10.08.2015
Vašek;28.09.2015
Václav;28.09.2015
Václava;28.09.2015
Věnceslav;13.02.2015
Vendelín;20.10.2015
Vendula;06.04.2015
Věra;08.10.2015
Veronika;07.02.2015
Věroslav;27.07.2015
Viktor;28.07.2015
Viktorie;10.03.2015
Vilém;28.05.2015
Vilma;07.01.2015
Vincenc;14.04.2015
Viola;25.05.2015
Vít;15.06.2015
Vítězslav;21.07.2015
Vladan;09.01.2015
Vladěna;30.08.2015
Vladimír;23.05.2015
Vladimíra;23.05.2015
Vladislav;18.01.2015
Vlaďka;09.01.2015
Vlasta;23.12.2015
Vlastimil;17.03.2015
Vlastislav;28.04.2015
Vojta;23.04.2015
Vojtěch;23.04.2015
Vratislav;09.12.2015
Xenie;27.11.2015
Založení ČSR;28.10.2015
Zbyněk;16.06.2015
Zbyšek;20.05.2015
Zdeněk;23.01.2015
Zdeňka;23.06.2015
Zdislava;29.01.2015
Zikmund;02.05.2015
Zina;29.11.2015
Zita;19.09.2015
Zlata;25.09.2015
Zoe;27.10.2015
Zora;26.01.2015
Zuzana;11.08.2015
Žaneta;27.12.2015
Žofie;15.05.2015
Hober;9.1.2020
